#SampleID	habitat_depth_level2	anat_hab	sample_type	anatomical_location	spatial_region	anat_space_combine	habitat_depth_level3
13414.48.hg.R1.fastq.gz	intertidal	intertidal_hindgut	hindgut	internal	coastal	coastal/internal	intertidal
13414.48.midgut.R1.fastq.gz	intertidal	intertidal_midgut	midgut	internal	coastal	coastal/internal	intertidal
13414.48.skin.R1.fastq.gz	intertidal	intertidal_skin	skin	external	coastal	coastal/external	intertidal
13414.49.gill.R1.fastq.gz	neritic	neritic_gill	gill	external	coastal	coastal/external	neritic
13414.49.hg.R1.fastq.gz	neritic	neritic_hindgut	hindgut	internal	coastal	coastal/internal	neritic
13414.49.midgut.R1.fastq.gz	neritic	neritic_midgut	midgut	internal	coastal	coastal/internal	neritic
13414.49.skin.R1.fastq.gz	neritic	neritic_skin	skin	external	coastal	coastal/external	neritic
13414.5.gill.R1.fastq.gz	neritic	neritic_gill	gill	external	coastal	coastal/external	neritic
13414.5.hg.R1.fastq.gz	neritic	neritic_hindgut	hindgut	internal	coastal	coastal/internal	neritic
13414.5.midgut.R1.fastq.gz	neritic	neritic_midgut	midgut	internal	coastal	coastal/internal	neritic
13414.5.skin.R1.fastq.gz	neritic	neritic_skin	skin	external	coastal	coastal/external	neritic
13414.50.gill.R1.fastq.gz	neritic	neritic_gill	gill	external	coastal	coastal/external	neritic
13414.50.hg.R1.fastq.gz	neritic	neritic_hindgut	hindgut	internal	coastal	coastal/internal	neritic
13414.50.midgut.R1.fastq.gz	neritic	neritic_midgut	midgut	internal	coastal	coastal/internal	neritic
13414.50.skin.R1.fastq.gz	neritic	neritic_skin	skin	external	coastal	coastal/external	neritic
13414.51.gill.R1.fastq.gz	neritic	neritic_gill	gill	external	coastal	coastal/external	neritic
13414.51.hg.R1.fastq.gz	neritic	neritic_hindgut	hindgut	internal	coastal	coastal/internal	neritic
13414.51.midgut.R1.fastq.gz	neritic	neritic_midgut	midgut	internal	coastal	coastal/internal	neritic
13414.51.skin.R1.fastq.gz	neritic	neritic_skin	skin	external	coastal	coastal/external	neritic
13414.52.gill.R1.fastq.gz	neritic	neritic_gill	gill	external	coastal	coastal/external	neritic
13414.52.hg.R1.fastq.gz	neritic	neritic_hindgut	hindgut	internal	coastal	coastal/internal	neritic
13414.52.midgut.R1.fastq.gz	neritic	neritic_midgut	midgut	internal	coastal	coastal/internal	neritic
13414.52.skin.R1.fastq.gz	neritic	neritic_skin	skin	external	coastal	coastal/external	neritic
13414.53.gill.R1.fastq.gz	neritic	neritic_gill	gill	external	coastal	coastal/external	neritic
13414.53.hg.R1.fastq.gz	neritic	neritic_hindgut	hindgut	internal	coastal	coastal/internal	neritic
13414.53.midgut.R1.fastq.gz	neritic	neritic_midgut	midgut	internal	coastal	coastal/internal	neritic
13414.53.skin.R1.fastq.gz	neritic	neritic_skin	skin	external	coastal	coastal/external	neritic
13414.54.gill.R1.fastq.gz	neritic	neritic_gill	gill	external	coastal	coastal/external	neritic
13414.54.hg.R1.fastq.gz	neritic	neritic_hindgut	hindgut	internal	coastal	coastal/internal	neritic
13414.54.midgut.R1.fastq.gz	neritic	neritic_midgut	midgut	internal	coastal	coastal/internal	neritic
13414.54.skin.R1.fastq.gz	neritic	neritic_skin	skin	external	coastal	coastal/external	neritic
13414.55.gill.R1.fastq.gz	neritic	neritic_gill	gill	external	coastal	coastal/external	neritic
13414.55.hg.R1.fastq.gz	neritic	neritic_hindgut	hindgut	internal	coastal	coastal/internal	neritic
13414.55.midgut.R1.fastq.gz	neritic	neritic_midgut	midgut	internal	coastal	coastal/internal	neritic
13414.55.skin.R1.fastq.gz	neritic	neritic_skin	skin	external	coastal	coastal/external	neritic
13414.58.gill.R1.fastq.gz	neritic	neritic_gill	gill	external	coastal	coastal/external	neritic
13414.58.hg.R1.fastq.gz	neritic	neritic_hindgut	hindgut	internal	coastal	coastal/internal	neritic
13414.58.midgut.R1.fastq.gz	neritic	neritic_midgut	midgut	internal	coastal	coastal/internal	neritic
13414.58.skin.R1.fastq.gz	neritic	neritic_skin	skin	external	coastal	coastal/external	neritic
13414.59.gill.R1.fastq.gz	neritic	neritic_gill	gill	external	coastal	coastal/external	neritic
13414.59.hg.R1.fastq.gz	neritic	neritic_hindgut	hindgut	internal	coastal	coastal/internal	neritic
13414.59.midgut.R1.fastq.gz	neritic	neritic_midgut	midgut	internal	coastal	coastal/internal	neritic
13414.59.skin.R1.fastq.gz	neritic	neritic_skin	skin	external	coastal	coastal/external	neritic
13414.6.gill.R1.fastq.gz	neritic	neritic_gill	gill	external	coastal	coastal/external	neritic
13414.6.hg.R1.fastq.gz	neritic	neritic_hindgut	hindgut	internal	coastal	coastal/internal	neritic
13414.6.midgut.R1.fastq.gz	neritic	neritic_midgut	midgut	internal	coastal	coastal/internal	neritic
13414.6.skin.R1.fastq.gz	neritic	neritic_skin	skin	external	coastal	coastal/external	neritic
13414.60.gill.R1.fastq.gz	neritic	neritic_gill	gill	external	coastal	coastal/external	neritic
13414.60.hg.R1.fastq.gz	neritic	neritic_hindgut	hindgut	internal	coastal	coastal/internal	neritic
13414.60.midgut.R1.fastq.gz	neritic	neritic_midgut	midgut	internal	coastal	coastal/internal	neritic
13414.60.skin.R1.fastq.gz	neritic	neritic_skin	skin	external	coastal	coastal/external	neritic
13414.61.gill.R1.fastq.gz	mesopelagic	meso_benthopelagic_gill	gill	external	open ocean	open ocean/external	meso_benthopelagic
13414.61.hg.R1.fastq.gz	mesopelagic	meso_benthopelagic_hindgut	hindgut	internal	open ocean	open ocean/internal	meso_benthopelagic
13414.61.midgut.R1.fastq.gz	mesopelagic	meso_benthopelagic_midgut	midgut	internal	open ocean	open ocean/internal	meso_benthopelagic
13414.61.skin.R1.fastq.gz	mesopelagic	meso_benthopelagic_skin	skin	external	open ocean	open ocean/external	meso_benthopelagic
13414.62.gill.R1.fastq.gz	mesopelagic and benthopelagic	meso_benthopelagic_gill	gill	external	open ocean	open ocean/external	meso_benthopelagic
13414.62.hg.R1.fastq.gz	mesopelagic and benthopelagic	meso_benthopelagic_hindgut	hindgut	internal	open ocean	open ocean/internal	meso_benthopelagic
13414.62.midgut.R1.fastq.gz	mesopelagic and benthopelagic	meso_benthopelagic_midgut	midgut	internal	open ocean	open ocean/internal	meso_benthopelagic
13414.62.skin.R1.fastq.gz	mesopelagic and benthopelagic	meso_benthopelagic_skin	skin	external	open ocean	open ocean/external	meso_benthopelagic
13414.63.gill.R1.fastq.gz	mesopelagic and benthopelagic	meso_benthopelagic_gill	gill	external	open ocean	open ocean/external	meso_benthopelagic
13414.63.hg.R1.fastq.gz	mesopelagic and benthopelagic	meso_benthopelagic_hindgut	hindgut	internal	open ocean	open ocean/internal	meso_benthopelagic
