#SampleID	habitat_depth_level2	anat_hab	sample_type	anatomical_location	spatial_region	anat_space_combine	habitat_depth_level3
13414.90.hg.R1.fastq.gz	bathypelagic	bathypelagic_hindgut	hindgut	internal	open ocean	open ocean/internal	bathypelagic
13414.90.midg.R1.fastq.gz	bathypelagic	bathypelagic_midgut	midgut	internal	open ocean	open ocean/internal	bathypelagic
13414.90.s.R1.fastq.gz	bathypelagic	bathypelagic_skin	skin	external	open ocean	open ocean/external	bathypelagic
13414.91.g.R1.fastq.gz	bathypelagic	bathypelagic_gill	gill	external	open ocean	open ocean/external	bathypelagic
13414.91.hg.R1.fastq.gz	bathypelagic	bathypelagic_hindgut	hindgut	internal	open ocean	open ocean/internal	bathypelagic
13414.91.midg.R1.fastq.gz	bathypelagic	bathypelagic_midgut	midgut	internal	open ocean	open ocean/internal	bathypelagic
13414.91.s.R1.fastq.gz	bathypelagic	bathypelagic_skin	skin	external	open ocean	open ocean/external	bathypelagic
13414.92.g.R1.fastq.gz	neritic	neritic_gill	gill	external	coastal	coastal/external	neritic
13414.92.hg.R1.fastq.gz	neritic	neritic_hindgut	hindgut	internal	coastal	coastal/internal	neritic
13414.92.s.R1.fastq.gz	neritic	neritic_skin	skin	external	coastal	coastal/external	neritic
13414.93.g.R1.fastq.gz	mesopelagic	meso_benthopelagic_gill	gill	external	open ocean	open ocean/external	meso_benthopelagic
13414.93.hg.R1.fastq.gz	mesopelagic	meso_benthopelagic_hindgut	hindgut	internal	open ocean	open ocean/internal	meso_benthopelagic
13414.93.midg.R1.fastq.gz	mesopelagic	meso_benthopelagic_midgut	midgut	internal	open ocean	open ocean/internal	meso_benthopelagic
13414.93.s.R1.fastq.gz	mesopelagic	meso_benthopelagic_skin	skin	external	open ocean	open ocean/external	meso_benthopelagic
13414.94.g.R1.fastq.gz	neritic	neritic_gill	gill	external	coastal	coastal/external	neritic
13414.94.hg.R1.fastq.gz	neritic	neritic_hindgut	hindgut	internal	coastal	coastal/internal	neritic
